Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Prepare demo & final report,SCRUM-40,10042,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:34 PM,19/Aug/25 8:10 AM,09/Aug/25 3:34 PM,,,0,"Plan and prepare the final project demo and report. Develop a demo script that showcases the completed product backlog items and key features of the CafePOS system. Prepare presentation slides with relevant screenshots, code snippets, and diagrams. Compile the final report including all required artefacts such as the product and sprint backlogs, risk assessment, testing strategy, velocity/burndown charts, and personal reflection. Ensure the report meets the formatting and referencing guidelines, and rehearse the demo to ensure smooth delivery during the presentation.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0005r:,SCRUM Sprint 4,,1.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:34 PM
Conduct sprint reviews & retrospectives,SCRUM-39,10041,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:33 PM,19/Aug/25 8:10 AM,09/Aug/25 3:23 PM,,,0,"Plan and conduct formal Sprint Review and Sprint Retrospective sessions after each sprint. For the review, demonstrate completed backlog items to stakeholders, gather feedback, and record action items for future improvements. For the retrospective, facilitate discussion among team members about what went well, what could be improved, and lessons learned. Document meeting notes and outcomes and attach them to the project artefacts. Prepare templates for agendas and notes.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00050:,SCRUM Sprint 3,,1.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:33 PM
Define testing strategy,SCRUM-38,10040,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:33 PM,19/Aug/25 8:10 AM,09/Aug/25 3:26 PM,,,0,"Develop a comprehensive testing strategy for the CafePOS system covering unit, integration, and acceptance testing. Identify key components and modules for unit tests (e.g., database access, order processing, inventory updates), select appropriate frameworks such as pytest for Python backend and React Testing Library for the frontend, and define test coverage targets. Outline integration test scenarios to verify interactions between frontend, API, and database, and specify acceptance criteria for end‑to‑end user flows. Document the test plan and align it with the risk assessment and quality goals of the project.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004g:i,SCRUM Sprint 2,,1.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:33 PM
Plan sprints & stand-ups,SCRUM-37,10039,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:33 PM,19/Aug/25 8:10 AM,09/Aug/25 3:24 PM,,,0,"Organize the sprint planning and daily stand‑up meetings for the project. Define the sprint length, prepare agendas, and schedule meetings with all team members. Create and circulate calendar invites, set up a recurring virtual meeting link, and ensure everyone understands the sprint goals and deliverables. Document the outcomes of planning sessions and daily stand‑ups, including action items and blockers, to support transparency and continuous improvement.Organize the sprint planning and daily stand-up meetings for the project. Define the sprint length, prepare agendas, and schedule meetings with all team members. Create and circulate calendar invites, set up a recurring virtual meeting link, and ensure everyone understands the sprint goals and deliverables. Document the outcomes of planning sessions and daily stand-ups, including action items and blockers, to support transparency and continuous improvement.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004g:,SCRUM Sprint 2,,1.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:33 PM
Create product backlog & release plan,SCRUM-36,10038,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:32 PM,19/Aug/25 8:09 AM,04/Aug/25 10:54 AM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00020:zi,SCRUM Sprint 1,,2.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:32 PM
Document and maintain the risk register; review and update it regularly,SCRUM-35,10037,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:30 PM,27/Jul/25 3:30 PM,27/Jul/25 3:31 PM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0006v:,SCRUM Sprint 1,,,,,10033,SCRUM-31,Develop risk management plan,To Do,27/Jul/25 3:30 PM
Define mitigation strategies and contingency plans for high-priority risks,SCRUM-34,10036,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:29 PM,09/Aug/25 3:46 PM,27/Jul/25 3:29 PM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0006n:,SCRUM Sprint 1,,2.0,,,10033,SCRUM-31,Develop risk management plan,To Do,27/Jul/25 3:29 PM
Determine probability and impact for each identified risk,SCRUM-33,10035,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:28 PM,27/Jul/25 3:28 PM,27/Jul/25 3:28 PM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0006f:,SCRUM Sprint 1,,,,,10033,SCRUM-31,Develop risk management plan,To Do,27/Jul/25 3:28 PM
"Identify potential risks across technical, timeline, resource, and scope",SCRUM-32,10034,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:27 PM,27/Jul/25 3:27 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00067:,SCRUM Sprint 1,,,,,10033,SCRUM-31,Develop risk management plan,To Do,27/Jul/25 3:27 PM
Develop risk management plan,SCRUM-31,10033,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:26 PM,09/Aug/25 3:47 PM,09/Aug/25 3:43 PM,,,0,"* Identify potential risks (technical, timeline, resource, scope)
* Determine probability and impact for each risk
* Define mitigation strategies and contingency plans
* Document the risk register and update it regularly",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00020:z,SCRUM Sprint 1,,2.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:26 PM
Analyse hardware & software requirements,SCRUM-30,10032,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:25 PM,19/Aug/25 8:09 AM,09/Aug/25 3:37 PM,,,0,"* Evaluate hardware requirements (receipt printer models, POS terminals, CPU, memory)
* Evaluate software requirements (Python 3.13, Tornado 6.5, PostgreSQL 17, React 19)
* Identify dependencies and compatibility issues between components
* Document findings and recommend technologies",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00020:y,SCRUM Sprint 1,,2.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:25 PM
Define vision and SMART objectives,SCRUM-29,10031,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:19 PM,19/Aug/25 8:09 AM,09/Aug/25 3:36 PM,,,0,"Define the vision for the CafePOS project and establish SMART (Specific, Measurable, Achievable, Relevant, Time-bound) objectives. Document the desired product outcomes, target users, key features, and success criteria in a vision document. Develop clear, measurable goals for the system's functionalities, timeline, and expected performance, and ensure team alignment through review and approval.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00020:x,SCRUM Sprint 1,,1.0,,,10003,SCRUM-1,Project Management & Risk,To Do,27/Jul/25 3:19 PM
Implement sales dashboard and enforce test coverage & velocity reporting,SCRUM-28,10030,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:10 PM,19/Aug/25 8:10 AM,09/Aug/25 3:29 PM,,,0,"* Build a comprehensive sales dashboard showing real-time or near-real-time metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates continuously based on sales and inventory data and provides filters for date ranges and product categories. Enforce a minimum test coverage threshold (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic.uild a comprehensive sales dashboard showing real-time or near-real-time metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates continuously based on sales and inventory data and provides filters for date ranges and product categories. Enforce a minimum test coverage threshold (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic.Develop a comprehensive sales dashboard displaying key metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates in real time or near real time based on sales and inventory data and provide filters for date ranges and product categories. Enforce a minimum test coverage threshold (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic.Develop a comprehensive sales dashboard displaying key metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates in real time or near real time based on sales and inventory data and provide filters for date ranges and product categories. Enforce a minimum test coverage threshold (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic.Develop a comprehensive sales dashboard displaying key metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates in real time or near real time based on sales and inventory data, and provide filters for date ranges and product categories. Enforce a minimum test coverage threshold (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic.Develop a comprehensive sales dashboard that displays key metrics such as daily and weekly revenue, number of transactions, top-selling products, and current inventory levels. Ensure the dashboard updates in real time or near real time based on sales and inventory data and provide filters for date ranges and product categories. Additionally, enforce a test coverage threshold of at least 80% across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and ly and weekly revenue, number of transactions, top-selling products, and current inventory levels.Ensure the dashboard updates in real time or near real time based on sales and inventory data. Provide filters for date ranges and product categories. Additionally, enforce test coverage requirements (e.g., 80% or higher) across backend and frontend code, and generate velocity charts and reports for each sprint to track team progress. Include unit and integration tests for the dashboard components and data aggregation logic",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0005b:,SCRUM Sprint 4,,3.0,,,10007,SCRUM-5,"Security, Reporting & Enablers",To Do,27/Jul/25 3:10 PM
